49,4.61E+08,Mauna Loa Helicopters                                                 ,Main Campus                                                           ,73-310 U'u Street                                                         ,Kailua Kona         ,HI,9.67E+08,9,"Private for-profit, less-than 2-year",19,0,19,A ,0,0,0,0,0,0,0,0,0,0,0,0
51,4.18E+08,Ohio Center for Broadcasting-Cincinnati                               ,Cincinnati Campus                                                     ,6703 Madison Road                                                         ,CINCINNATI          ,OH,45227,9,"Private for-profit, less-than 2-year",13,6,19,A ,0,0,0,0,0,0,0,0,0,0,0,0
53,1.43E+08,Blessing Hospital School of Radiologic Technology                     ,Main Campus                                                           ,BROADWAY AT 11TH                                                          ,QUINCY              ,IL,6.23E+08,5,"Private nonprofit, 2-year           ",2,18,20,A ,0,0,0,0,0,0,0,0,0,0,0,0
54,4.48E+08,Hair Academy 110                                                      ,Main Campus                                                           ,110 N Franklin                                                            ,Kirksville          ,MO,63501,9,"Private for-profit, less-than 2-year",0,20,20,A ,0,0,0,0,0,0,0,0,0,0,0,0
55,4.76E+08,Academy of Couture Art                                                ,Main Campus                                                           ,"8484 Wilshire Boulevard, Suite 730                                        ",Beverly Hills       ,CA,90211,3,"Private for-profit, 4-year or above ",4,17,21,A ,0,0,0,0,0,0,0,0,0,0,0,0
56,1.54E+08,American College of Hairstyling-Des Moines                            ,Main Campus                                                           ,603 E SIXTH ST                                                            ,DES MOINES          ,IA,50309,6,"Private for-profit, 2-year          ",18,3,21,A ,0,0,0,0,0,0,0,0,0,0,0,0
57,4.46E+08,Buchanan Beauty College                                               ,Buchanan Beauty College                                               ,925 SEVIER ST                                                             ,SHELBYVILLE         ,TN,37160,9,"Private for-profit, less-than 2-year",2,19,21,A ,0,0,0,0,0,0,0,0,0,0,0,0
58,4.48E+08,Mountain State School of Massage                                      ,Main Campus                                                           ,601 50th St                                                               ,Charleston          ,WV,25304,9,"Private for-profit, less-than 2-year",5,16,21,A ,0,0,0,0,0,0,0,0,0,0,0,0
59,2.09E+08,Northwest Nannies Institute                                           ,NORTHWEST NANNIES INSTITUTE                                           ,11830 SW KERR PKY STE 330                                                 ,LAKE OSWEGO         ,OR,97035,9,"Private for-profit, less-than 2-year",0,21,21,A ,0,0,0,0,0,0,0,0,0,0,0,0
60,4.76E+08,Shear Learning Academy of Cosmetology                                 ,Main Campus                                                           ,241 North Main Street                                                     ,Decatur             ,IL,6.25E+08,9,"Private for-profit, less-than 2-year",1,20,21,A ,0,0,0,0,0,0,0,0,0,0,0,0
63,4.13E+08,Professional Beauty School                                            ,Main Campus                                                           ,P.O. Box  9243                                                            ,YAKIMA              ,WA,98909,9,"Private for-profit, less-than 2-year",1,21,22,A ,0,0,0,0,0,0,0,0,0,0,0,0
64,4.19E+08,United Technical Center                                               ,Main Campus                                                           ,251 Marietta St.                                                          ,Clarksburg          ,WV,2.63E+08,7,"Public, less-than 2-year            ",2,20,22,A ,0,0,0,0,0,0,0,0,0,0,0,0
65,1.58E+08,Cameron College                                                       ,Main Campus                                                           ,2740 CANAL ST                                                             ,NEW ORLEANS         ,LA,70119,6,"Private for-profit, 2-year          ",4,19,23,A ,0,0,0,0,0,0,0,0,0,0,0,0
70,4.36E+08,Montessori Institute of Milwaukee                                     ,Main Campus                                                           ,3195 S SUPERIOR ST STE L428                                               ,MILWAUKEE           ,WI,5.32E+08,2,"Private nonprofit, 4-year or above  ",1,22,23,A ,0,0,0,0,0,0,0,0,0,0,0,0
71,4.34E+08,Myotherapy Institute                                                  ,Main Campus                                                           ,4001 Pioneer Woods Drive                                                  ,LINCOLN             ,NE,68506,6,"Private for-profit, 2-year          ",4,19,23,A ,0,0,0,0,0,0,0,0,0,0,0,0
72,4.76E+08,Regency Beauty Institute-Dallas                                       ,Regency Beauty Institute                                              ,13465 Inwood Road Suite 185                                               ,Dallas              ,TX,7.52E+08,9,"Private for-profit, less-than 2-year",3,20,23,A ,0,0,0,0,0,0,0,0,0,0,0,0
73,4.18E+08,Saline County Career Center                                           ,Main Campus                                                           ,900 W VEST                                                                ,MARSHALL            ,MO,6.53E+08,7,"Public, less-than 2-year            ",1,22,23,A ,0,0,0,0,0,0,0,0,0,0,0,0
74,4.19E+08,Adirondack Beauty School                                              ,Main Campus                                                           ,108 DIX AVE                                                               ,GLENS FALLS         ,NY,1.28E+08,9,"Private for-profit, less-than 2-year",2,22,24,A ,0,0,0,0,0,0,0,0,0,0,0,0
75,2.07E+08,American Broadcasting School-Oklahoma City                            ,Main Campus                                                           ,4511 SE 29TH ST                                                           ,OKLAHOMA CITY       ,OK,73115,9,"Private for-profit, less-than 2-year",19,5,24,A ,0,0,0,0,0,0,0,0,0,0,0,0
78,2.19E+08,Sanford Medical Center                                                ,Sanford USD Medical Center - School of Radiologic Techn               ,1305 W. 18th Street                                                       ,SIOUX FALLS         ,SD,5.71E+08,5,"Private nonprofit, 2-year           ",6,18,24,A ,0,0,0,0,0,0,0,0,0,0,0,0
80,4.62E+08,Cosmetology College of Franklin County                                ,Main Campus                                                           ,570 South Main                                                            ,Saint Clair         ,MO,6.31E+08,9,"Private for-profit, less-than 2-year",0,25,25,A ,0,0,0,0,0,0,0,0,0,0,0,0
81,1.60E+08,Pat Goins Benton Road Beauty School                                   ,Main Campus                                                           ,1701 OLD MINDEN RD STE 36                                                 ,BOSSIER CITY        ,LA,71111,9,"Private for-profit, less-than 2-year",2,23,25,A ,0,0,0,0,0,0,0,0,0,0,0,0
82,4.14E+08,Phagans Newport Academy of Cosmetology Careers                        ,Phagans Newport Academy of Cosmetology Careers                        ,158 E. OLIVE STREET                                                       ,NEWPORT             ,OR,97365,6,"Private for-profit, 2-year          ",0,25,25,A ,0,0,0,0,0,0,1,0,0,0,0,0
84,1.08E+08,Velvatex College of Beauty Culture                                    ,Velvatex College of Beauty Culture                                    ,1520 MARTIN LUTHER KING DR                                                ,LITTLE ROCK         ,AR,7.22E+08,9,"Private for-profit, less-than 2-year",0,25,25,A ,0,0,0,0,0,0,0,0,0,0,0,0
86,3.71E+08,Alabama State College of Barber Styling                               ,Alabama state College of Barber Styling                               ,753 Main Street                                                           ,Gardendale          ,AL,3.51E+08,9,"Private for-profit, less-than 2-year",10,16,26,A ,0,0,0,0,0,0,0,0,0,0,0,0
87,4.19E+08,Hazleton Area Career Center                                           ,Hazleton Area Career Center                                           ,1451 W 23rd Street                                                        ,HAZLETON            ,PA,18202,7,"Public, less-than 2-year            ",4,22,26,D ,0,0,0,0,0,1,0,0,0,8,15,1
90,4.47E+08,Shear Academy                                                         ,Main Campus                                                           ,780 WEST AVE                                                              ,CROSSVILLE          ,TN,38555,9,"Private for-profit, less-than 2-year",2,24,26,A ,0,0,0,0,0,0,0,0,0,0,0,0
91,4.46E+08,Crossett School of Cosmetology                                        ,Main Campus                                                           ,121 PINE ST                                                               ,CROSSETT            ,AR,7.16E+08,9,"Private for-profit, less-than 2-year",1,26,27,A ,0,0,0,0,0,0,0,0,0,0,0,0
92,4.18E+08,Kirksville Area Technical Center                                      ,Kirksville Area Technical Center                                      ,1103 S COTTAGE GROVE                                                      ,KIRKSVILLE          ,MO,63501,7,"Public, less-than 2-year            ",6,21,27,A ,0,0,0,0,0,0,2,0,0,0,8,0
94,2.10E+08,Phagans Tigard Beauty School                                          ,Main Campus                                                           ,8820 SW CENTER                                                            ,TIGARD              ,OR,97223,6,"Private for-profit, 2-year          ",3,24,27,A ,0,0,0,0,0,0,0,0,0,0,0,0
95,2.62E+08,Pike-Lincoln Technical Center                                         ,Main Campus                                                           ,342 VO-TECH RD                                                            ,EOLIA               ,MO,63344,7,"Public, less-than 2-year            ",10,17,27,A ,0,0,0,0,0,0,0,0,0,0,0,0
99,2.08E+08,Woodward Beauty College                                               ,Main Campus                                                           ,502 TEXAS STREET                                                          ,WOODWARD            ,OK,73801,9,"Private for-profit, less-than 2-year",1,26,27,A ,0,0,0,0,0,0,0,0,0,0,0,0
100,4.48E+08,American Institute of Massage Therapy                                 ,Main Campus                                                           ,1506 E Warner Ave Ste 110                                                 ,Santa Ana           ,CA,9.27E+08,9,"Private for-profit, less-than 2-year",7,21,28,A ,0,0,0,0,0,0,0,0,0,0,0,0
101,4.62E+08,Buckner Barber School                                                 ,Main Campus                                                           ,"1515 South Buckner Boulevard, Suite 147                                   ",Dallas              ,TX,7.52E+08,9,"Private for-profit, less-than 2-year",23,5,28,A ,0,0,0,0,0,0,0,0,0,0,0,0
102,4.18E+08,Cass Career Center                                                    ,Cass Career Center                                                    ,1600 E Elm                                                                ,Harrisonville       ,MO,6.47E+08,7,"Public, less-than 2-year            ",2,26,28,A ,0,0,0,0,0,0,0,0,0,0,0,0
103,3.66E+08,Connecticut Institute of Hair Design                                  ,"Ct.Institute of Hair Design,Inc.                                      ",1681 MERIDEN RD                                                           ,WOLCOTT             ,CT,6.72E+07,9,"Private for-profit, less-than 2-year",10,18,28,A ,0,0,0,0,0,0,0,0,0,0,0,0
106,4.62E+08,Seymour Beauty Academy                                                ,Main Campus                                                           ,209 South Commercial Street                                               ,Seymour             ,MO,6.57E+08,9,"Private for-profit, less-than 2-year",1,27,28,A ,0,0,0,0,0,0,0,0,0,0,0,0
107,4.58E+08,Southern Worcester County Regional Voc School District                ,Main Campus                                                           ,57 Old Muggett Hill Rd                                                    ,Charlton            ,MA,1507,7,"Public, less-than 2-year            ",2,26,28,A ,0,0,0,0,0,0,0,0,0,0,0,0
108,2.19E+08,Sumter Beauty College                                                 ,Sumter Beauty College                                                 ,921 CAROLINA AVE                                                          ,SUMTER              ,SC,2.92E+08,9,"Private for-profit, less-than 2-year",0,28,28,A ,0,0,0,0,0,0,0,0,0,0,0,0
109,4.47E+08,Universal College of Healing Arts                                     ,Main Campus                                                           ,8702 North 30th Street                                                    ,OMAHA               ,NE,6.81E+08,6,"Private for-profit, 2-year          ",5,23,28,A ,0,0,0,0,0,0,0,0,0,0,0,0
